Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,Latitude,Longitude,Price
Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,"	PH15 2EB",286580,749680,42.99
Aberlour,3,3,1,0,0,4,3,2,2,3,3,2,"	AB38 9PJ",326340,842570,59.99
AnCnoc,1,3,2,0,0,2,0,0,2,2,3,2,"	AB5 5LI",352960,839320,
Ardbeg,4,1,4,4,0,0,2,0,1,2,1,0,"	PA42 7EB",141560,646220,48.99
Ardmore,2,2,2,0,0,1,1,1,2,3,1,1,"	AB54 4NH",355350,829140,
ArranIsleOf,2,3,1,1,0,1,1,1,0,1,1,2,KA27 8HJ,194050,649950,65.99
Auchentoshan,0,2,0,0,0,1,1,0,2,2,3,3,G81 4SJ,247670,672610,83.99
Auchroisk,2,3,1,0,0,2,1,2,2,2,2,1,"	AB55 3XS",340754,848623,149.99
Aultmore,2,2,1,0,0,1,0,0,2,2,2,2,"	AB55 3QY",340754,848623,72.99
Balblair,2,3,2,1,0,0,2,0,2,1,2,1,"	IV19 1LB",270820,885770,69.99
Balmenach,4,3,2,0,0,2,1,3,3,0,1,2,"	PH26 3PF",307750,827170,
Belvenie,3,2,1,0,0,3,2,1,0,2,2,2,"	AB55 4DH",332680,840840,64.99
BenNevis,4,2,2,0,0,2,2,0,2,2,2,2,"	PH33 6TJ",212600,775710,94.99
Benriach,2,2,1,0,0,2,2,0,0,2,3,2,"	IV30 8SJ",323450,858380,68.99
Benrinnes,3,2,2,0,0,3,1,1,2,3,2,2,"	AB38 9NN",325800,839920,129.99
Benromach,2,2,2,0,0,2,2,1,2,2,2,2,"	IV36 3EB",303330,859350,37.99
Bladnoch,1,2,1,0,0,0,1,1,0,2,2,3,"	DG8 9AB",242260,554260,49.99
BlairAthol,2,2,2,0,0,1,2,2,2,2,2,2,"	PH16 5LY",294860,757580,68.99
Bowmore,2,2,3,1,0,2,2,1,1,1,1,2,"	PA43 7GS",131330,659720,61.99
Bruichladdich,1,1,2,2,0,2,2,1,2,2,2,2,PA49 7UN,126680,661400,54.99
Bunnahabhain,1,2,1,1,0,1,1,1,1,2,2,3,PA46 7RR,142210,673170,42.99
Caol Ila,3,1,4,2,1,0,2,0,2,1,1,1,"	PA46 7RL",142920,670040,68.99
Cardhu,1,3,1,0,0,1,1,0,2,2,2,2,"	AB38 7RY",318790,843090,53.99
Clynelish,3,2,3,3,1,0,2,0,1,1,2,0,"	KW9 6LB",290250,904230,69.99
Craigallechie,2,2,2,0,1,2,2,1,2,2,1,4,AB38 9ST,328920,844920,59.99
Craigganmore,2,3,2,1,0,0,1,0,2,2,2,2,AB37 9AB,316600,836370,72.99
Dailuaine,4,2,2,0,0,1,2,2,2,2,2,1,"	AB38 7RE",323520,841010,79.98
Dalmore,3,2,2,1,0,1,2,2,1,2,3,1,"	IV17 0UT",266610,868730,59.99
Dalwhinnie,2,2,2,0,0,2,1,0,1,2,2,2,"	PH19 1AB",263670,785270,64.99
Deanston,2,2,1,0,0,2,1,1,1,3,2,1,FK16 6AG,271570,701570,48.99
Dufftown,2,3,1,1,0,0,0,0,1,2,2,2,AB55 4BR,332360,839200,64.98
Edradour,2,3,1,0,0,2,1,1,4,2,2,2,PH16 5JP,295960,757940,66.99
GlenDeveronMacduff,2,3,1,1,1,1,1,2,0,2,0,1,AB4 3JT,372120,860400,114.99
GlenElgin,2,3,1,0,0,2,1,1,1,1,2,3,IV30 3SL,322640,861040,119.99
GlenGarioch,2,1,3,0,0,0,3,1,0,2,2,2,AB51 0ES,381020,827590,72.99
GlenGrant,1,2,0,0,0,1,0,1,2,1,2,1,AB38 7BS,327610,849570,78.99
GlenKeith,2,3,1,0,0,1,2,1,2,1,2,1,AB55 3BU,340754,848623,179.98
